iter	Passed	Remaining
872	31403	4568
873	31435	4531
874	31469	4495
875	31500	4458
876	31530	4422
877	31562	4385
878	31594	4349
879	31626	4312
880	31657	4276
881	31690	4239
882	31720	4203
883	31751	4166
884	31784	4130
885	31820	4094
886	31854	4058
887	31887	4021
888	31923	3985
889	31957	3949
890	31991	3913
891	32024	3877
892	32056	3841
893	32087	3804
894	32121	3768
895	32150	3731
896	32183	3695
897	32213	3659
898	32245	3622
899	32278	3586
900	32313	3550
901	32344	3514
902	32377	3477
903	32409	3441
904	32439	3405
905	32473	3369
906	32504	3332
907	32535	3296
908	32566	3260
909	32599	3224
910	32631	3187
911	32665	3151
912	32696	3115
913	32729	3079
914	32762	3043
915	32797	3007
916	32832	2971
917	32867	2935
918	32902	2899
919	32935	2863
920	32971	2828
921	33007	2792
922	33052	2757
923	33095	2722
924	33130	2686
925	33172	2650
926	33210	2615
927	33247	2579
928	33292	2544
929	33332	2508
930	33367	2473
931	33402	2437
932	33441	2401
933	33481	2365
934	33516	2330
935	33556	2294
936	33596	2258
937	33636	2223
938	33678	2187
939	33719	2152
940	33763	2116
941	33804	2081
942	33845	2045
943	33885	2010
944	33925	1974
945	33959	1938
946	33994	1902
947	34033	1866
948	34078	1831
949	34119	1795
950	34159	1760
951	34199	1724
952	34239	1688
953	34281	1652
954	34323	1617
955	34360	1581
956	34401	1545
957	34442	1509
958	34474	1473
959	34511	1437
960	34547	1402
961	34584	1366
962	34622	1330
963	34663	1294
964	34700	1258
965	34737	1222
966	34780	1186
967	34825	1151
968	34866	1115
969	34904	1079
970	34941	1043
971	34991	1007
972	35056	972
973	35096	936
974	35140	901
975	35182	865
976	35222	829
977	35260	793
978	35302	757
979	35339	721
980	35375	685
981	35412	649
982	35448	613
983	35484	576
984	35515	540
985	35548	504
986	35579	468
987	35613	432
988	35651	396
989	35691	360
990	35731	324
991	35769	288
992	35807	252
993	35846	216
994	35886	180
995	35926	144
996	35962	108
997	35998	72
998	36035	36
999	36072	0
